FullName,Frecuencia
Vanilla planifolia,5
Dahlia coccinea,3
Abies religiosa,2
Agave cupreata,2
Carnegiea gigantea,2
Mammillaria bocasana,2
Rhizophora mangle,2
Theobroma bicolor,2
Abies religiosa en,1
Acer negundo mexicanum,1
Agave aurea,1
Agave cupreata por,1
Agave kerchovei,1
Agave marmorata,1
Agave potatorum,1
Agave salmiana,1
Agave salmiana subsp,1
Agave salmiana usado,1
Agave tequilana,1
Annona purpurea en,1
Arabidopsis thaliana,1
Artemisia absinthium,1
Avicennia germinans,1
Buddleja cordata,1
Cirsium ehrenbergii,1
Coffea arabica en,1
Echinocactus grusonii,1
Fagus mexicana en,1
Ferocactus latispinus en,1
Ferocactus uncinatus,1
Fraxinus udhei,1
Juniperus californica,1
Laelia albida,1
Laelia gouldiana,1
Laelia speciosa,1
Lamiaceae del,1
Lamiaceae mexicanas,1
Lavandula intermedia,1
Lupinus montanus,1
Magnolia pacifica,1
Mammillaria albiflora,1
Mammillaria elongata en,1
Mammillaria guelzowiana,1
Mammillaria herrerae,1
Mammillaria magnimamma,1
Mammillaria parkinsonii,1
Mammillaria serie,1
Opuntia ficus-indica,1
Passiflora conzattiana,1
Pinus hartwegii,1
Pinus subsección,1
Quercus castanea,1
Quercus crassipes,1
Quercus cualensis,1
Quercus frutex,1
Quercus laeta,1
Quercus tuitensis,1
Ricinus communis,1
Salvia apiana jeps,1
Salvia hispanica,1
Salvia polinizadas por,1
Salvia subg,1
Salvia vazquezii tancitaroensis,1
Solanum polinizadas por,1
Solanum rostratum,1
Stenocereus queretaroensis en,1
Stenocereus ubicadas en,1
Theobroma bicolor en,1
Vanilla planifolia en,1
Yucca periculosa,1
