Especie,Frecuencia
Lobby del,41
Sesiones orales,38
María del,25
Impartido por,12
Eventos culturales,10
Conferencias magistrales,9
Fotografía oficial,9
Sesión solemne,9
Anatomía foliar,7
Nelly del,7
Flora vascular,6
Magna del,6
Vanilla planifolia,6
Diversidad florística,5
Estado actual,5
Las plantas,5
Auditorio del,4
Caracterización morfológica,4
Cerro del,4
Diversidad floral,4
Efecto del,4
Excursiones botánicas,4
Fenología reproductiva,4
Flora del,4
Patricia del,4
Plantas acuáticas,4
Abies religiosa,3
Agave cupreata,3
Agave salmiana,3
Análisis melisopalinológico,3
Apocynaceae del,3
Autónoma del,3
Dahlia coccinea,3
Descripción anatómica,3
Distribución potencial,3
Estrategias para,3
Estructura genética,3
Estudio florístico,3
Filogenética espacial,3
Furcraea macdougallii,3
Las especies,3
Luz del,3
Mancebo del,3
Novedades botánicas,3
Radiaciones adaptativas,3
Relación entre,3
Theobroma bicolor,3
